,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
667,669,Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision,1.25,0.86,0.01,0.26,2.37
668,670,Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37
669,671,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36
670,672,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36
671,673,LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,1.05,0.0,0.23,2.35
672,674,Donkey Kong Land II,GB,1996.0,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35
673,675,Dragon Warrior Monsters,GB,1998.0,Role-Playing,Eidos Interactive,0.0,0.0,2.34,0.01,2.35
674,676,Midnight Club: Los Angeles,X360,2008.0,Racing,Take-Two Interactive,1.68,0.46,0.01,0.2,2.35
675,677,Skylanders SWAP Force,Wii,2013.0,Platform,Activision,1.32,0.83,0.0,0.2,2.34
676,678,WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ,0.92,0.0,0.01,1.41,2.34
677,679,My Fitness Coach,Wii,2008.0,Sports,Ubisoft,1.2,0.9,0.0,0.24,2.34
678,680,Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,1.08,0.7,0.34,0.21,2.34
679,681,The Sims 3,X360,2010.0,Simulation,Electronic Arts,1.27,0.86,0.0,0.2,2.33
680,682,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.14,0.54,0.47,0.17,2.32
681,683,NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,1.93,0.14,0.0,0.24,2.32
682,684,Just Dance Kids,Wii,2010.0,Misc,Ubisoft,1.57,0.56,0.0,0.19,2.32
683,685,Mario Tennis,N64,2000.0,Sports,Nintendo,0.78,0.4,1.06,0.07,2.32
684,686,Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
685,687,James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts,0.85,1.06,0.09,0.32,2.31
686,688,WarioWare Touched!,DS,2004.0,Puzzle,Nintendo,0.52,0.45,1.21,0.13,2.31
687,689,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31
688,690,Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,0.28,0.0,2.02,0.01,2.31
689,691,Cool Boarders 3,PS,1998.0,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31
690,692,LEGO Marvel Super Heroes,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.24,0.85,0.0,0.21,2.3
691,693,Guild Wars 2,PC,2012.0,Action,NCSoft,0.95,1.06,0.0,0.29,2.3
692,694,Pokemon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3
693,695,Dead Island,PS3,2011.0,Action,Deep Silver,1.08,0.75,0.15,0.31,2.29
694,696,Tomb Raider II,PC,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
695,697,God of War: Ascension,PS3,2013.0,Action,Sony Computer Entertainment,1.23,0.68,0.04,0.34,2.29
696,698,Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28
697,699,Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28
698,700,Just Dance 2015,Wii,2014.0,Misc,Ubisoft,1.11,0.98,0.0,0.2,2.28
699,701,Yokai Watch Busters,3DS,2015.0,Action,Level 5,0.0,0.0,2.28,0.0,2.28
700,702,Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
701,703,FIFA Soccer 09,PS2,2008.0,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28
702,704,Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,1.01,0.9,0.0,0.37,2.28
703,705,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
704,706,TOCA Touring Car Championship,PS,1997.0,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28
705,707,Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27
706,708,Sonic's Ultimate Genesis Collection,PS3,2009.0,Misc,Sega,1.34,0.62,0.0,0.31,2.27
707,709,Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,1.07,0.92,0.04,0.24,2.27
708,710,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27
709,711,Wario Land 4,GBA,2001.0,Platform,Nintendo,0.9,0.73,0.54,0.09,2.26
710,712,Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,Activision,1.4,0.54,0.02,0.3,2.26
711,713,Call of Duty 3,Wii,,Shooter,Activision,1.19,0.84,0.0,0.23,2.26
712,714,Resident Evil 4,Wii,2007.0,Action,Capcom,1.34,0.57,0.14,0.21,2.26
713,715,Minecraft,PSV,2014.0,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
714,716,Onimusha 2: Samurai's Destiny,PS2,2002.0,Adventure,Capcom,0.62,0.44,1.06,0.13,2.25
715,717,Cool Boarders 2,PS,1997.0,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25
716,718,Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25
717,719,Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25
718,720,Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25
719,721,Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25
720,722,Sonic Advance,GBA,2001.0,Platform,Sega,1.19,0.71,0.22,0.13,2.24
721,723,Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,1.29,0.83,0.0,0.11,2.23
722,724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23
723,725,LEGO Indiana Jones: The Original Adventures,DS,2008.0,Action,Activision,1.42,0.61,0.0,0.21,2.23
724,726,Dance Dance Revolution X2,PS2,2009.0,Simulation,Konami Digital Entertainment,1.09,0.85,0.0,0.28,2.23
725,727,New Super Luigi U,WiiU,2013.0,Platform,Nintendo,1.27,0.62,0.18,0.16,2.22
726,728,Prince of Persia: The Sands of Time,PS2,2003.0,Action,Ubisoft,0.88,1.03,0.0,0.31,2.22
727,729,Scribblenauts,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22
728,730,The Legend of Zelda: Link's Awakening DX,GB,1998.0,Adventure,Nintendo,1.0,0.63,0.45,0.13,2.22
729,731,Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts,1.03,0.98,0.0,0.21,2.22
730,732,BioShock 2,X360,2010.0,Shooter,Take-Two Interactive,1.45,0.55,0.02,0.19,2.21
731,733,Assassin's Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,1.47,0.55,0.0,0.19,2.21
732,734,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006.0,Action,Capcom,1.06,0.82,0.05,0.28,2.21
733,735,Rock Band 2,X360,2008.0,Misc,Electronic Arts,1.78,0.24,0.0,0.18,2.2
734,736,Frogger,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2
735,737,Guitar Hero II,X360,2007.0,Misc,Activision,2.01,0.02,0.0,0.17,2.2
736,738,Wario Land 3,GB,2000.0,Platform,Nintendo,1.11,0.51,0.34,0.23,2.2
737,739,Pro Yakyuu Family Stadium,NES,1986.0,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2
738,740,Sonic Unleashed,Wii,2008.0,Platform,Sega,1.28,0.68,0.02,0.21,2.2
739,741,High School Musical: Makin' the Cut!,DS,2007.0,Puzzle,Disney Interactive Studios,1.06,0.91,0.0,0.23,2.2
740,742,Pro Evolution Soccer 2012,PS3,2011.0,Action,Konami Digital Entertainment,0.34,0.97,0.55,0.33,2.19
741,743,Saints Row,X360,2006.0,Action,THQ,1.17,0.78,0.02,0.22,2.19
742,744,Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19
743,745,Kirby's Pinball Land,GB,1992.0,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19
744,746,Donkey Kong Country,GB,2000.0,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19
745,747,Hitman: Absolution,PS3,2012.0,Action,Square Enix,0.59,1.07,0.07,0.45,2.19
746,748,Yu-Gi-Oh: Duel Monsters 4,GB,2000.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,2.17,0.01,2.18
747,749,ATV Offroad Fury 2,PS2,2002.0,Racing,THQ,1.92,0.2,0.0,0.06,2.18
748,750,Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,1.21,0.78,0.01,0.17,2.18
749,751,Madden NFL 25,X360,2013.0,Sports,Electronic Arts,1.97,0.07,0.0,0.13,2.18
750,752,Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,1.29,0.04,0.73,0.12,2.18
751,753,Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17
752,754,Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17
753,755,Star Wars: Rogue Squadron,N64,1998.0,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17
754,756,Tennis,NES,1984.0,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
755,757,The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
756,758,Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,Ubisoft,1.51,0.47,0.0,0.18,2.16
757,759,Syphon Filter 2,PS,2000.0,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15
758,760,Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,Ubisoft,0.54,1.16,0.13,0.32,2.15
759,761,Volleyball,NES,1987.0,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15
760,762,FIFA 15,XOne,2014.0,Sports,Electronic Arts,0.6,1.41,0.0,0.14,2.15
761,763,Call of Duty: Roads to Victory,PSP,2007.0,Shooter,Activision,0.52,1.03,0.0,0.59,2.14
762,764,Super Mario RPG: Legend of the Seven Stars,SNES,1996.0,Role-Playing,Nintendo,0.66,0.0,1.45,0.03,2.14
763,765,Mahjong,NES,1983.0,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14
764,766,R.C. Pro-Am,NES,1988.0,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
765,767,SimCity 2000,PC,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
766,768,Demon Attack,2600,1981.0,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13
767,769,Dance Dance Revolution Extreme,PS2,2004.0,Simulation,Konami Digital Entertainment,1.04,0.81,0.0,0.27,2.13
768,770,Tetris DS,DS,2006.0,Puzzle,Nintendo,0.64,0.07,1.35,0.08,2.13
769,771,Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13
770,772,Far Cry: Primal,PS4,2016.0,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13
771,773,Toy Story 3: The Video Game,DS,2010.0,Action,Disney Interactive Studios,0.93,0.97,0.02,0.21,2.12
772,774,Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,0.91,0.05,1.07,0.09,2.12
773,775,Kirby's Epic Yarn,Wii,2010.0,Platform,Nintendo,1.47,0.09,0.45,0.11,2.12
774,776,Project Gotham Racing,XB,2001.0,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12
775,777,Golf,GB,1989.0,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12
776,778,NBA 2K12,PS3,2011.0,Sports,Take-Two Interactive,1.61,0.27,0.05,0.18,2.11
777,779,Borderlands,PS3,2009.0,Shooter,Take-Two Interactive,1.2,0.62,0.0,0.29,2.11
778,780,Tony Hawk's Pro Skater,N64,2000.0,Sports,Activision,1.68,0.4,0.0,0.03,2.11
779,781,PES 2009: Pro Evolution Soccer,PS3,2008.0,Sports,Konami Digital Entertainment,0.11,1.34,0.4,0.26,2.11
780,782,Need for Speed: Hot Pursuit 2,PS2,2002.0,Racing,Electronic Arts,1.68,0.31,0.02,0.09,2.11
781,783,Mario Sports Mix,Wii,2010.0,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11
782,784,Rock Band,Wii,,Misc,MTV Games,1.35,0.56,0.0,0.2,2.11
783,785,Dynasty Warriors 4,PS2,2003.0,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11
784,786,Mortal Kombat,X360,2011.0,Fighting,Warner Bros. Interactive Entertainment,1.63,0.33,0.0,0.15,2.11
785,787,Parasite Eve,PS,1998.0,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1
786,788,Scooby-Doo! Night of 100 Frights,PS2,2002.0,Platform,THQ,1.17,0.72,0.0,0.22,2.1
787,789,Project Gotham Racing (JP weekly sales),XB,2002.0,Action,Microsoft Game Studios,1.54,0.44,0.04,0.07,2.1
788,790,Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,Electronic Arts,1.77,0.13,0.02,0.18,2.1
789,791,Portal 2,X360,2011.0,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
790,792,Devil May Cry 3: Dante's Awakening,PS2,2005.0,Action,Capcom,0.99,0.63,0.29,0.19,2.09
791,793,Derby Stallion,PS,1997.0,Sports,ASCII Entertainment,0.0,0.0,1.96,0.14,2.09
792,794,Dead Rising,X360,2006.0,Action,Capcom,1.16,0.65,0.08,0.2,2.09
793,795,Finding Nemo,PS2,2003.0,Action,THQ,1.26,0.6,0.05,0.18,2.09
794,796,NBA 2K11,X360,2010.0,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09
795,797,Wipeout: The Game,Wii,2009.0,Misc,Mindscape,1.97,0.0,0.0,0.12,2.09
796,798,The Sims 2: Pets,DS,2006.0,Simulation,Electronic Arts,0.92,0.94,0.0,0.22,2.09
797,799,Battlefield: Hardline,PS4,2015.0,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09
798,800,Metal Gear Solid: Peace Walker,PSP,2010.0,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09
799,801,World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08
800,802,Tetris Worlds,PS2,2002.0,Puzzle,THQ,1.11,0.71,0.0,0.27,2.08
801,803,Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,0.63,1.02,0.05,0.39,2.08
802,804,Dance Dance Revolution: Hottest Party,Wii,2007.0,Simulation,Konami Digital Entertainment,1.36,0.52,0.0,0.2,2.08
803,805,Mario Party 5,GC,2003.0,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08
804,806,Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,2.08
805,807,Sim Theme Park,PC,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08
806,808,Warcraft: Orcs & Humans,PC,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08
807,809,Skate 3,PS3,2010.0,Sports,Electronic Arts,0.79,0.94,0.0,0.35,2.08
808,810,Spec Ops: Airborne Commando,PS,2002.0,Shooter,Take-Two Interactive,1.54,0.46,0.0,0.08,2.07
809,811,Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07
810,812,UFC 2009 Undisputed,X360,2009.0,Fighting,THQ,1.48,0.39,0.0,0.19,2.07
811,813,Dark Souls,PS3,2011.0,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,2.07
812,814,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001.0,Strategy,Konami Digital Entertainment,1.64,0.36,0.0,0.07,2.07
813,815,Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,1.04,0.8,0.01,0.22,2.06
814,816,The Sims 3,PS3,2010.0,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,2.06
815,817,Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,Ubisoft,1.2,0.63,0.04,0.19,2.06
816,818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06
817,819,The Incredibles,GBA,2004.0,Action,THQ,1.15,0.77,0.04,0.1,2.06
818,820,R4: Ridge Racer Type 4,PS,1998.0,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06
819,821,SoulCalibur II,PS2,2003.0,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06
820,822,Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06
821,823,Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,0.73,0.92,0.04,0.37,2.05
822,824,Carnival Games,DS,2008.0,Misc,Take-Two Interactive,1.23,0.64,0.0,0.19,2.05
823,825,NBA 2K14,PS3,2013.0,Sports,Take-Two Interactive,1.43,0.33,0.04,0.25,2.05
824,826,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,Nintendo,1.16,0.06,0.83,0.0,2.05
825,827,Sonic Mega Collection,GC,2002.0,Misc,Infogrames,1.47,0.48,0.05,0.06,2.05
826,828,Diablo III,PS3,2013.0,Role-Playing,Activision,0.71,0.83,0.15,0.35,2.05
827,829,NBA Jam,GEN,1992.0,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05
828,830,PGR4 - Project Gotham Racing 4,X360,2007.0,Racing,Microsoft Game Studios,0.48,1.29,0.02,0.25,2.05
829,831,Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04
830,832,Dance Central 2,X360,2011.0,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04
831,833,Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,Ubisoft,0.73,1.09,0.0,0.23,2.04
832,834,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04
833,835,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005.0,Action,Ubisoft,0.71,1.02,0.0,0.31,2.04
834,836,Donkey Kong Country,GBA,2003.0,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04
835,837,Need for Speed: The Run,PS3,2011.0,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04
836,838,Madden NFL 15,PS4,2014.0,Sports,Electronic Arts,1.53,0.25,0.0,0.25,2.03
837,839,1080°: TenEighty Snowboarding,N64,1998.0,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
838,840,Just Dance 3,X360,2011.0,Misc,Ubisoft,1.47,0.4,0.0,0.16,2.03
839,841,NBA Live 2004,PS2,2003.0,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03
840,842,Dead Space,PS3,2008.0,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02
841,843,Call of Duty 2,X360,2005.0,Shooter,Activision,1.81,0.05,0.01,0.15,2.02
842,844,Madden NFL 15,X360,2014.0,Sports,Electronic Arts,1.76,0.09,0.0,0.17,2.02
843,845,Forza Horizon,X360,2012.0,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02
844,846,TouchMaster,DS,2007.0,Puzzle,Midway Games,0.49,1.27,0.0,0.25,2.01
845,847,Tom Clancy's The Division,XOne,2016.0,Shooter,Ubisoft,1.2,0.62,0.0,0.18,2.01
846,848,LEGO Marvel Super Heroes,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2.0
847,849,Fire Emblem: Awakening,3DS,2012.0,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0
848,850,DriveClub,PS4,2014.0,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2.0
849,851,Super Street Fighter II,SNES,1993.0,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0
850,852,Mortal Kombat vs. DC Universe,PS3,2008.0,Fighting,Midway Games,1.48,0.3,0.0,0.22,2.0
851,853,Tenchu: Stealth Assassins,PS,1997.0,Action,Activision,0.95,0.64,0.27,0.13,1.99
852,854,Tennis,GB,1989.0,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99
853,855,Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,Electronic Arts,1.21,0.64,0.05,0.09,1.99
854,856,Harry Potter and the Chamber of Secrets,PS,2002.0,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
855,857,SimCity,SNES,1991.0,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
856,858,Battlefield 4,XOne,2013.0,Shooter,Electronic Arts,1.25,0.58,0.0,0.16,1.98
857,859,Resident Evil 6,X360,2012.0,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98
858,860,Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
859,861,Sonic Classic Collection,DS,2010.0,Platform,Sega,0.99,0.8,0.0,0.18,1.97
860,862,Spyro: Enter the Dragonfly,PS2,2002.0,Platform,Universal Interactive,0.74,0.95,0.0,0.28,1.97
861,863,Call of Duty: World at War,Wii,2008.0,Shooter,Activision,1.2,0.59,0.0,0.19,1.97
862,864,Devil May Cry 2,PS2,2003.0,Action,Capcom,0.71,0.58,0.51,0.17,1.97
863,865,Burnout Paradise,PS3,2008.0,Racing,Electronic Arts,1.01,0.64,0.02,0.3,1.97
864,866,E.T.: The Extra Terrestrial,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97
865,867,BioShock Infinite,X360,2013.0,Shooter,Take-Two Interactive,1.22,0.57,0.02,0.15,1.96
866,868,Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96
867,869,Rad Racer,NES,1986.0,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
868,870,Soccer,NES,1985.0,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
869,871,Kirby Squeak Squad,DS,2006.0,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96
870,872,Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.96
871,873,Destiny,X360,2014.0,Shooter,Activision,1.3,0.49,0.0,0.16,1.95
872,874,Crash Nitro Kart,PS2,2003.0,Racing,Vivendi Games,0.74,1.01,0.0,0.2,1.95
873,875,Grand Theft Auto: San Andreas,XB,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95
874,876,Star Wars: Dark Forces,PC,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95
875,877,NBA Street Vol. 2,PS2,2003.0,Sports,Electronic Arts,1.69,0.2,0.0,0.06,1.95
876,878,Def Jam Vendetta,PS2,2003.0,Fighting,Electronic Arts,0.95,0.74,0.0,0.25,1.94
877,879,FIFA Soccer 09,X360,2008.0,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94
878,880,Who wants to be a millionaire,PC,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94
879,881,Scooby Doo and the Cyber Chase,PS,2001.0,Adventure,THQ,0.59,1.23,0.0,0.13,1.94
880,882,Alleyway,GB,1989.0,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
881,883,Dragon Ball Z: Budokai 3,PS2,2004.0,Fighting,Atari,1.09,0.15,0.65,0.04,1.94
882,884,Jet Moto 2,PS,1997.0,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
883,885,Tom Clancy's Ghost Recon,PS2,2002.0,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94
884,886,X-Men Legends,PS2,2004.0,Role-Playing,Activision,1.0,0.72,0.0,0.21,1.93
885,887,Batman: Arkham Origins,X360,2013.0,Action,Warner Bros. Interactive Entertainment,1.15,0.61,0.0,0.17,1.93
886,888,Guitar Hero: World Tour,PS3,2008.0,Misc,Activision,1.1,0.56,0.0,0.27,1.93
887,889,Mortal Kombat II,SNES,1993.0,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93
888,890,Virtua Fighter 2,SAT,1995.0,Fighting,Sega,0.34,0.26,1.3,0.03,1.93
889,891,Tetris DX,GB,1998.0,Puzzle,Nintendo,1.06,0.6,0.2,0.07,1.93
890,892,Mortal Kombat vs. DC Universe,X360,2008.0,Fighting,Midway Games,1.53,0.24,0.0,0.16,1.93
891,893,Watch Dogs,PS3,2014.0,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93
892,894,Mario Super Sluggers,Wii,2008.0,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93
893,895,Tomb Raider (2013),X360,2013.0,Action,Square Enix,0.86,0.87,0.01,0.17,1.92
894,896,The Legend of Zelda: Oracle of Ages,GB,2001.0,Action,Nintendo,0.92,0.53,0.41,0.06,1.92
895,897,Need for Speed: Shift,X360,2009.0,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92
896,898,Monopoly,Wii,2008.0,Misc,Electronic Arts,0.87,0.85,0.0,0.2,1.92
897,899,Red Faction,PS2,2001.0,Shooter,THQ,0.76,0.96,0.0,0.2,1.92
898,900,The Sims: Makin' Magic,PC,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92
899,901,MX Unleashed,PS2,2004.0,Racing,THQ,0.94,0.73,0.0,0.25,1.92
900,902,PaRappa The Rapper,PS,1996.0,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92
901,903,Toy Story Mania!,Wii,2009.0,Misc,Disney Interactive Studios,1.06,0.67,0.0,0.18,1.92
902,904,Mario Party 3,N64,2000.0,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91
903,905,Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts,1.14,0.57,0.0,0.19,1.91
904,906,Game Party 2,Wii,2008.0,Misc,Midway Games,1.3,0.44,0.0,0.17,1.91
905,907,Destiny: The Taken King,PS4,2015.0,Shooter,Activision,0.77,0.78,0.04,0.31,1.91
906,908,LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action,LucasArts,1.08,0.66,0.0,0.17,1.91
907,909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9
908,910,Max Payne 3,PS3,2012.0,Shooter,Take-Two Interactive,0.59,0.92,0.06,0.32,1.9
909,911,Need for Speed Rivals,PS4,2013.0,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89
910,912,Madden NFL 09,PS3,2008.0,Sports,Electronic Arts,1.56,0.15,0.0,0.18,1.89
911,913,Yokai Watch,3DS,2013.0,Role-Playing,Nintendo,0.21,0.3,1.33,0.04,1.89
912,914,Ratchet & Clank Future: A Crack in Time,PS3,2009.0,Platform,Sony Computer Entertainment,1.05,0.54,0.03,0.26,1.88
